Deutsch,English
verschwenden,waste
Öffne,Open
Kopfschmerzen,Headache
eilig,hurry
bösen,evil
Amanda,Amanda
streng,strictly
Kilo,kilo
Data,Data
Vermutlich,Allegedly
Überall,Everywhere
Truck,truck
riechen,smell
reagiert,Reacts
Nigger,nigger
Munition,ammunition
La,La
Karl,Charles
irgendein,any
Gordon,Gordon
Fliegen,Fly
Donnerstag,Thursday
bekämpfen,fight
äußerst,extremely
übernehme,take over
kaufe,buy
Hirn,brain
hilfst,help
waschen,wash
Vorsichtig,Cautious
Kreuz,Cross
geil,cool
Bud,Bud
blöden,stupid
Antrag,Application
übersetzt,translated
stirbst,die
nennst,call
gekostet,cost
Fieber,Fever
Burns,Burns
vergisst,forgets
schwerer,heavier
rausholen,get out
Knarre,Ratchet
Heißt,Is called
gesamten,entire
deutsche,German
Legende,Legend
ha,Ha
Giles,Giles
fett,fat
Beziehungen,Relationships
Nenn,Nominal
Morris,Morris
Berge,Mountains
mitmachen,participate
Fred,Fred
Wette,bet
Offensichtlich,Apparently
Miststück,Bitch
merkt,notices
Gefangenen,prisoners
Edward,Edward
verwenden,use
Sklaven,slaves
haltet,hold
erscheint,appears
Bäume,trees
Badezimmer,bathroom
Schock,shock
heutzutage,nowadays
angestellt,employed
Such,Search
rächen,revenge
Maske,mask
Gewinner,winner
geschaffen,created
erscheinen,appear
Amen,Amen
Technik,Technology
gehöre,belong
Zentrale,Headquarters
übers,trans
subbed,subbed
Schreiben,Write
Penner,Jerk
heutigen,today
El,El
beruhigt,calmed down
Nina,Nina
kauft,buys
zugeben,admit
Steine,Stones
Spinner,crackhead
Otaru,Otaru
IN,IN
Hof,court
erkläre,explain
Benzin,petrol
kurze,short
Könnt,Can
it,it
bestellen,order
lege,lay
gehörst,belong
Europa,Europe
zuhause,at home
würdet,would
Sandy,Sandy
Rodney,Rodney
Ken,Ken
Entspann,Relax
ziehst,you pull
trotz,despite
mußte,had to
Basis,Base
Unglück,bad luck
menschlichen,human
Medikamente,Medication
Linda,Linda
Ihm,Him
höher,higher
erstaunlich,astonishing
Verteidigung,defense
Öffentlichkeit,Publicity
lese,reading
Erinnern,Remember
Einfluss,Influence
berühmt,famous
Berlin,Berlin
Stellung,position
Schicken,Send
Rot,Red
Leon,Leon
Kühlschrank,Refrigerator
Kette,Chain
DAS,THE
amerikanischen,American
verwickelt,involved
möglicherweise,possibly
Koch,Cook
erwischen,catch
eng,closely
aufzuhalten,to stop
woran,what
Tasse,Cup
reingehen,go in
Besitzer,Owner
Belohnung,Reward
Warnung,warning
voran,Ahead
verflucht,cursed
üben,practice
Solche,Such
Probe,sample
geschnappt,caught
Füßen,feet
erfährt,learns
Dusche,Shower
besiegt,defeated
Anderen,Others
Puppe,Doll
Maya,Maya
Mac,Mac
Hätten,Had
Empfang,Reception
Briefe,letters
berühren,touch
ausziehen,get undressed
Allein,Alone
wenigen,few
Vorteil,Advantage
Schwarzen,Black
Organisation,organization
gefiel,liked
Einladung,Invitation
Cäsar,Caesar
versprechen,promise
Umständen,circumstances
Miller,Miller
inzwischen,in the meantime
Heim,Home
Geschenke,Gifts
Farm,farm
abgehauen,escape
weiB,woman
tritt,occurs
Selbstverständlich,Of course
Oliver,Oliver
Köpfe,heads
Kelly,Kelly
find,find
Derek,Derek
clever,clever
Burt,Burt
Bond,Bond
Piloten,Pilots
Kilometer,kilometre
Euren,Yours
April,April
zwölf,twelve
Schüsse,Shots
Links,Left
freiwillig,voluntarily
erwähnen,mention
dank,thanks to
Zack,Zack
Schönes,Beautiful
Sammy,Sammy
Riley,Riley
Pillen,pills
liebsten,favorite
Lauft,Running
Hütte,hut
Humor,humor
fang,catch
erkennt,recognizes
aktiviert,activated
vorbereiten,prepare
trafen,met
Scylla,Scylla
Galactica,Galactica
Fürst,Prince
Diamanten,Diamonds
Carlos,Carlos
anzurufen,to call
angeschossen,shot
achten,regard
vernichtet,destroyed
vermute,guess
schenken,give
Offizier,officer
Jin,Jin
eindeutig,clearly
bestens,fine
wirft,throws
Wirf,Throw
weshalb,for what reason
testen,testing
Sayid,Sayid
Julia,Julia
Johnson,Johnson
drum,that's why
bestätigen,confirm
anscheinend,apparently
Wunde,wound
Wäsche,Laundry
Start,begin
SDI,SDI
rechte,right
offiziell,officially
einfache,simple
Hopper,Hoppers
Hatten,Had
Glaube,Believe
Dachte,Thought
Ausweis,ID
Todes,death
suchte,searched
Schrei,Scream
Kabel,Cable
Fresse,Fuck it
Dale,Dale
Version,version
starben,died
Scheidung,divorce
km,km
ICH,I
Green,Green
Fan,fan
einstellen,set
Blume,flower
versaut,messed up
Urteil,Verdict
per,by
lhres,yours
Jan,Jan
bestehen,consist
Kämpfer,fighter
Burke,Burke
wünscht,wishes
Ewigkeit,eternity
Elliot,Elliot
Angela,Angela
Abschluss,Diploma
Wade,calf
Vereinigten,United
Sohnes,son
Reis,rice
langsamer,slower
Betty,Betty
zeigte,showed
volle,full
verschwand,disappeared
Süßer,cutie pie
Sagte,said
Miete,Rent
Laufen,Run
Kleinen,little ones
Junior,Junior
flehe,beg
dick,thick
brav,well-behaved
Übung,Exercise
springt,jumps
sicherer,safer
Seil,Rope
Lektion,lesson
kennenzulernen,to get to know
Jungfrau,Virgo
brachten,brought
Tour,trip
Staub,Dust
Rettung,rescue
Bande,band
zurückgekommen,came back
Verdacht,Suspicion
verbrannt,burned
tiefer,deeper
identifizieren,identify
Hiro,Hiro
Ergebnis,Result
Cooper,cooper
Anscheinend,Apparently
albern,silly
Sport,Sports
Schwachsinn,Bullshit
Netz,network
Höhe,Height
fressen,eat
einst,once
aufmachen,open up
verabschieden,say goodbye
Uni,University
Überhaupt,At all
tanzt,dances
öffnet,opens
kamst,came
Jo,Yep
Ausgezeichnet,Excellent
wetten,bet
Werk,plant
verzweifelt,desperate
Verfügung,Disposal
Schönen,Beautiful
Phil,Phil
Kaum,Barely
gestört,disturbed
beibringen,teach
Tiger,tiger
schläfst,sleeping
Penis,penis
Iss,Eat
auftauchen,turn up
Seitdem,Since
Schließlich,Finally
King,King
Kapiert,Got it
Eile,Hurry
Doyle,Doyle
dennoch,nonetheless
Daß,That
bekamen,got
Bahnhof,Railroad station
Sebastian,Sebastian
rufst,you call
linken,left
blau,blue
Behandlung,Treatment
überfallen,ambushed
Prüfung,Test
Müssen,Must
Markt,market
Koma,coma
gelöst,solved
Geisel,hostage
Gary,Gary
Farben,Colors
Ausdruck,Expression
Atem,breath
weiteres,additional
Ungefähr,Approximately
Silas,Silas
Lesen,To read
einfallen,come up
blauen,blue
Zorn,anger
Taschen,Bags
Spiele,games
Söhne,sons
Meiner,Mine
lauf,run
existieren,exist
entschlossen,determined
aufgetaucht,popped up
tausend,thousand
soeben,just
Sawyer,Sawyer
reagieren,react
Murphy,Murphy
liefern,delivery
lernte,learned
Koordinaten,coordinates
hohen,high
half,helped
Black,Black
Worten,words
taub,deaf
notwendig,necessary
klauen,to steal
Katzen,Cats
Eurer,Yours
einladen,invite
begangen,committed
whoa,whoa
Verflucht,Cursed
uhm,uhm
Titten,Tits
leiten,lead
lecker,yummy
Assad,Assad
Kleines,Little one
Huhn,Chicken
Ergebnisse,Results
Sprung,Leap
Seelen,souls
Plätze,places
planen,to plan
hi,Hi
geschnitten,cut
besondere,special
bescheuert,stupid
Oberst,Colonel
nachsehen,check
more,more
Marie,Mary
Lehrerin,Teacher
Kanada,Canada
Helen,Helen
ausgesucht,select
Zone, Zone
Vampire,Vampires
Taten,actions
Schlimmste,Worst
sammeln,collect
Mauer,Wall
besseres,better
Ausgang,Exit
anschauen,look at
Anklage,accusation
Töten,Kill
Spielchen,Games
Jagd,hunt
Gewicht,Weight
Affe,Ape
reiten,ride
lächeln,smile
know,know
Autor,author
Yen,yen
womit,by which
Musst,Must
bereuen,regret
schreckliche,terrible
Satelliten,Satellites
Rückkehr,return
Reporter,reporter
Prost,Bottom up
versuchten,tried
Hollywood,Hollywood
Dienstag,Tuesday
berichten,to report
wieviel,how much
Setzt,Puts
scheinst,seem
Mäuse,Mice
Interessant,Interesting
hässlich,ugly
Gabe,Gabe
And,And
stellst,put
Nutte,hooker
nass,wet
kurzem,recently
gekümmert,cared for
Umstände,Circumstances
Tausende,Thousands
Sun,Sun
präsentiert,presents
Krise,crisis
Jugend,youth
hättet,would have
Gesundheit,Health
bestimmten,certain
anstellen,hire
Affäre,affair
Wettbewerb,Competition
Vermögen,Assets
Sharon,Sharon
nebenan,next door
Kosten,Cost
Kamui,Kamui
extrem,extreme
verwendet,used
verbergen,hide
unangenehm,unpleasant
Tricks,Tricks
Tatort,crime scene
School,School
Miyazawa,Miyazawa
Her,Her
wunderbare,wonderful
stimme,agree
sparen,save
Marty,Marty
besitzen,own
Arschlöcher,Assholes
verlange,demand
verdiene,deserve
Verdammter,Damn
Unterwäsche,underwear
Museum,museum
Kanal,channel
Irgendwelche,Any
hörten,heard
Frankie,Frankie
Ziele,Goals
Zeitungen,Newspapers
verurteilt,sentenced
Season,Season
irgendeinem,anyone
Carol,Carol
weitergehen,move on
Verzeih,forgive
standen,stood
Kara,Kara
frische,freshness
Ann,Ann
Action,Action
Zieht,Pulls
vermasselt,screwed up
stets,always
Stand,was standing
Schick,Chic
Lucas,Lucas
Lärm,Noise
Irgendjemand,Anyone
Führerschein,Driver's license
Dick,Thick
Anschlag,attack
Versicherung,Insurance
this,this
nützlich,useful
Mannschaft,team
hä,huh
Gredenko,Gredenko
Wichtiges,Important
Tyler,Tyler
Täter,Perpetrator
Sheldon,Sheldon
Modell,Model
Kopie,Copy
Alten,Olds
schweigen,be silent
Rätsel,Puzzle
Leidenschaft,Passion
grosse,size
Glaubt,Believes
beides,both
Stirb,Die
Spion,spy
las,read
Indien,India
Deutschen,Germans
beeil,hurry
Veränderung,change
SE,SE
Gepäck,Baggage
entwickeln,develop
Eingang,Entrance
blaue,blueness
Allen,Allen
wenden,turn around
verlasse,leave
Sich,Itself
Rakete,rocket
Marshall,Marshall
klingen,sound
Heiligen,Saints
guck,look
großartige,great
explodiert,explodes
beliebt,popular
Technologie,technology
schließt,closes
normalen,normal
Kekse,Cookies
Keitarô,Keitaro
getragen,carried
wächst,grows
versetzt,offset
SIE,SHE
doppelt,double
Bösen,evil
Appetit,appetite
Wollte,Wanted
Verpiss,Fuck off
Universität,university
momentan,at the moment
Diener,servant
Asche,ash
Angel,fishing rod
Zusammen,Together
verließ,left
Treffer,Hit
Summer,Buzzer
Stift,Pen
Springfield,Springfield
dunklen,dark
verwandeln,transform
Verlierer,loser
Hitze,heat
Herausforderung,Challenge
Haken,Hook
echtes,real
weich,soft
verbrennen,burn
tote,dead
Lloyd,Lloyd
Kämpfe,Fights
Gouverneur,governor
Gag,gag
erkenne,recognize
Wendy,Wendy
sinnlos,pointless
repariert,repaired
Nation,nation
Jahrhundert,century
Gerüchte,Rumors
aufgewacht,woke up
Antworte,Answer
Sünde,sin
Mum,Mom
Deutsche,German
Aye,Aye
tapfer,brave
Puls,Pulse
Pool,pool
Laune,Mood
Identität,identity
Hügel,hill
gefälligst,if you please
Brett,board
unglücklich,unhappy
Tötet,Kills
Null,Zero
niedlich,cute
Gegenwart,Present
Fremden,Strange
Francisco,Francisco
eingesetzt,used
Camp,Camp
zurückgehen,go back
Motorrad,motorcycle
Master,master
K,K
gedauert,lasted
Fingerabdrücke,fingerprints
Brüste,Breasts
vermeiden,avoid
unterstützt,supports
Molly,Molly
Handschellen,Handcuffs
Fantastisch,Fantastic
Christus,Christ
Botschafter,ambassador
attraktiv,attractive
wichtigen,important
Verschwindet,Disappears
Tracy,Tracy
streichen,cancel
Schnappt,Snaps
Irgendetwas,Anything
Geschwindigkeit,speed
gebt,give
Fox,Fox
eingestellt,set
durfte,could
befreundet,friends
aussteigen,exit
Zeuge,witness
Wünsche,Wishes
VON,FROM
Rückzug,retreat
persönlichen,personal
Jobs,Jobs
entspannen,relax
Atlantis,Atlantis
abgeben,hand over
Wirkung,Effect
White,White
such,search
schaden,damage
meistens,mostly
Handel,trade
Filmen,Film
Exzellenz,Excellence
Ernsthaft,Seriously
Deutschland,Germany
Applaus,applause
Widerstand,Resistance
mutig,brave
mitbringen,bring along
Letztes,Last
geleistet,accomplished
geklappt,succeeded
führe,lead
Aua,Ouch
Wichtigste,Most important
Schluck,Gulp
Hill,Hill
Ebene,level
beleidigt,insulted
aufwachen,wake up
Aah,Ahh
Woran,About what
unhöflich,impolite
Panzer,tank
Lang,Long
innen,Inside
Golf,golf
Erster,First
eingehen,enter
Zwischen,Between
Jay,Jay
Jägerin,huntress
heiratet,marries
Gangster,gangster
dachtest,you thought
bezahle,pay
Beeilt,Hurry
Wessen,Whose
weint,cries
Narr,fool
Hä,Huh
Fans,fans
Enkel,grandson
Tokyo,Tokyo
Schauspielerin,actress
Offenbar,Apparently
Jenny,Jenny
Gründen,Found
gefasst,caught
Fahrzeug,vehicle
einsetzen,insert
Chip,chip
behalte,keep
befreit,freed
zurückbringen,return
schüchtern,shy
persönliche,personal
jünger,younger
Direkt,Direct
daheim,home
beteiligt,involved
aufgewachsen,grew up
Zauberer,wizard
verabredet,have an appointment
schick,chic
Pfarrer,Pastor
o,O
Mommy,Mommy
Louis,Louis
Irgendwo,Somewhere
Carla,Carla
bilden,form
Bewusstsein,consciousness
abnehmen,lose weight
X,X
Überfall,raid
schaue,look
käme,would come
Hausaufgaben,homework
Führung,guide
Walsh,Walsh
Stan,Stan
Ooh,Ooh
Jäger,Hunter
Hauses,house
Bibel,Bible
aufmerksam,attentive
Arten,species
Animation,animation
Werbung,Advertising
Verkehr,Traffic
sicheren,secure
pleite,broke
klappen,succeed
Greg,Greg
Eva,Eve
brach,broke
ankommen,arrive
Rich,Rich
nannten,called
Mio,million
ginge,would go
Gesetze,Laws
fürchten,to fear
Bibliothek,library
verprügelt,beaten up
verhandeln,negotiate
ungern,reluctantly
riesigen,huge
Rasse,race
Miles,Miles
Meredith,Meredith
leihen,lend
Ladung,charge
Garage,garage
Dutzend,dozen
Beth,Beth
Aussehen,Look
verhalten,behave
telefonieren,make a phone call
tauschen,to exchange
Steuern,Steer
Roman,novel
nutzlos,useless
Male,times
Tschüs,Bye
sir,sir
seltsame,strange
schaust,look
Klopfen,Beat
kannten,knew
Furcht,fear
freien,free
Felsen,rock
Dadurch,Through this
weglaufen,run away
schmecken,taste good
nichtmal,not even
Lhre,Yours
Kram,junk
JD,JD
Hammer,hammer
Hafen,Harbor
Ausweg,way out
Spanisch,Spanish
Seth,Seth
September,September
Ratten,Rats
mächtig,powerful
Lies,Read
bequem,comfortable
Albtraum,nightmare
trocken,dry
Tokio,Tokyo
stecke,stuck
Prima,Fine
kennengelernt,met
gewollt,wanted
besonderen,special
Vietnam,Vietnam
untersucht,examined
senden,send
Ruhm,Fame
Kunde,customer
könne,could
Ins,Into the
Beginn,beginning
pünktlich,on time
Parkplatz,parking spot
Miami,Miami
getrieben,driven
Conrad,Conrad
Arbeiter,workers
Abgesehen,Apart from that
Weshalb,For what reason
weggehen,go away
Tara,Tara
Phase,phase
Papi,Daddy
Nächte,nights
Grace,Grace
Gaius,Gaius
Fein,Fine
einig,Some
außen,Outside
Anblick,sight
Wolken,Clouds
Verdächtigen,suspects
übertrieben,exaggerated
Stufe,Level
stöhnt,moans
South,South
Sitz,Seat
Schwäche,weakness
Schuh,shoe
Schieß,Shoot
S,S
Öffnen,Open
Mittwoch,Wednesday
lerne,learn
hübsches,pretty
heiligen,sanctify
grausam,awful
Funk,Wireless
Bestie,beast
Welten,worlds
Versteht,Understands
verlierst,lose
selbe,same
Phillip,Philip
Haaren,hair
freie,free
Clown,clown
Bauern,farmers
angeboten,offered
Aktion,action
abends,at evening
wwwsubcentralde,wwwsubcentralde
wohnst,live
stürzen,fall
Sid,Sid
Katastrophe,catastrophe
hielten,held
Gisborne,Gisborne
Enterprise,Enterprise
Darnell,Darnell
Beruhigen,Calm
Ausrüstung,equipment
verärgert,annoyed
Schlimmes,Bad
Rick,Rick
Jean,Jean
Bergen,Bergen
Träumen,dream
Tanzen,Dance
Stellt,Provides
sicherlich,surely
schmutzig,dirty
Paket,package
netten,nice
Milliarden,billion
Handtuch,Hand towel
Annie,Annie
Whistler,Whistler
vorwärts,forward
schaff,create
Rebellen,Rebels
Minister,minister
Marcus,Marcus
Königs,King's
Kauf,purchase
grün,green
Ware,Goods
trainieren,train
studiert,educated
Scheiss,Shit
Plötzlich,Suddenly
naja,Oh well
Möge,May
hundert,hundred
Göttin,goddess
geirrt,mistaken
Frohe,Happy
benehmen,behavior
Spielzeug,toy
Socken,Socks
Schreie,Screams
malen,to paint
Highschool,High school
FÜR,FOR
entgegen,in contrast to
Durst,thirst
be,be
Anakin,Anakin
vergiftet,poisoned
Tagebuch,diary
Raumschiff,spaceship
komische,funny ones
Hühnchen,chicken
gewöhnen,get used to
geflohen,fled
Fakten,Facts
Experiment,experiment
erschöpft,exhausted
Brown,Brown
bestimmte,particular
haut,skin
gewöhnlich,usually
Findet,Finds
Falsch,Incorrect
dürft,may
Berichte,Reports
angenehm,pleasant
Zellen,cells
wonach,what
sorgt,ensures
prüfen,check
no,no
möglichen,possible
meiste,most
Mai,May
kürzlich,recently
korrekt,correctly
Juli,July
festhalten,hold onto
Feier,Celebration
bedroht,threatened
bedanken,thank you
Aufregung,excitement
angeblich,allegedly
Versager,failure
vergesse,forget
nervt,annoying
Mönch,monk
Lou,Lou
Little,Little
Leela,Leela
Küste,coast
Kämpfen,Battle
greift,takes hold
DNA,DNA
Betrüger,cheater
weiterer,further
triffst,meet
schlägst,beats
Pater,Father
Morde,Murders
kontrolliert,controlled
grade,straight
Ehefrau,Wife
Deck,deck
Wächter,Guardian
Leistung,Performance
Las,read
immernoch,still
Ereignisse,events
Dana,Dana
bereitet,prepared
Akt,act
verschlossen,locked
toter,Dead
geheimen,secret
Bär,bear
Sucht,Seeks
Sowas,Like this
Safe,safe
Patientin,patient
opfern,sacrifice
mies,bad
Liebst,Dearest
leeren,to empty
hattet,had
eingeschlafen,fell asleep
Bedingungen,Conditions
Aufzug,Elevator
Z,Z
verlaufen,get lost
Palast,palace
Ned,Ned
Marine,marine
Lampe,lamp
hinweg,away
herrscht,prevails
Herein,In
größere,larger
Erstens,First
Drehen,Turn
Charakter,character
brennen,burn
Batman,Batman
Anzeichen,Signs
anhören,listen
Teller,Plate
süße,sweetness
solle,should
Seltsam,Strange
Sehe,See
Sandwich,sandwich
nettes,nice
Kommentar,comment
interessante,interesting
geladen,loaded
Eher,Rather
Dunkeln,Dark
Cox,Cox
UBoot,Submarine
Tipp,Tip
Reifen,Tires
Profi,professional
nirgends,nowhere
Last,load
getreten,kicked
Geräusche,Sounds
Fort,Cont
Fantasie,fantasy
draus,out
Apartment,Apartment
Verständnis,Understanding
spiel,game
rund,around
reine,pure
Leutnant,lieutenant
Leib,body
Hitler,Hitler
geheime,secret
Versuche,Try
unterschrieben,signed
ruinieren,ruin
Nennen,To name
Momente,moments
Hauptquartier,headquarters
Blödmann,dumbass
Apparat,apparatus
Ankunft,Arrival
wecken,wake up
Unterlagen,Documents
Rosen,Roses
Mögen,Like
Hugo,Hugo
Dennis,Dennis
ausgesetzt,exposed
your,yours
Wusstest,Knew
ungewöhnlich,unusual
Symbol,symbol
Revier,Territory
n,n
Lieferung,Delivery
Köder,bait
keins,no
Juden,Jews
hübscher,prettier
heimlich,secretly
garantiert,guaranteed
Flur,Hallway
Fahrrad,Bicycle
diejenige,the one
Bishop,Bishop
Anne,Anne
Abgemacht,Deal
verrückten,crazy
Shannon,Shannon
riesig,gigantic
regnet,raining
Raketen,Rockets
Mädel,girl
glücklicher,happier
bereiten,prepare
Autoren,Authors
studieren,study
Spinnst,Crazy
normales,normal
Indianer,Indians
ignorieren,to ignore
Heil,Unhurt
dummen,stupid
Brauchen,Need
betreten,enter
Armer,Poor
Weiss,White
Versprich,Promise
vergangen,past
träumen,dream
romantisch,romantic
Nebel,Fog
Moskau,Moscow
Kombination,combination
kämpfe,fight
entschuldigt,sorry
Bau,Building
übernommen,accepted
Protokoll,protocol
müsstest,would have to
Mitarbeiter,Employees
Marke,brand
Linc,Linc
keinerlei,none whatsoever
Joseph,Joseph
gesichert,secured
Desmond,Desmond
beeindruckend,impressive
Yuki,Yuki
Wolltest,You wanted to
Viertel,Quarter
Trainer,Trainer
positiv,positive
pinkeln,to pee
Neun,Nine
nähern,approach
Leber,liver
Kehle,throat
freu,happy
einkaufen,shopping
Crichton,Crichton
absichtlich,intentionally
Vorfall,incident
Nicole,Nicole
Motel,motel
illegal,illegal
Cliff,cliff
Blue,Blue
baut,builds
ausgerechnet,of all things
warne,warn
Verhandlung,negotiation
unwichtig,unimportant
umziehen,move
Tragödie,tragedy
Richie,Richie
Parker,Parker
NICHT,NOT
Netter,Nicer
leidet,suffers
Leb,Live
heut,today
ern,ern
bietet,offers
Beinen,legs
ausmachen,turn off
ausgegangen,went out
wartete,was waiting
Verfassung,Constitution
Vaughn,Vaughn
Teppich,Carpet
Rauchen,Smoke
Laster,Vice
friedlich,peaceful
Folgendes,The following
bezweifle,doubt
Ausbildung,Training
Willie,Willie
trainiert,trained
Soweit,So far
Paß,Passport
Kindes,child
hell,bright
Glocke,Bell jar
gewissen,conscience
genauer,more accurate
Cole,Cole
Catalina,Catalina
Bruders,brother
Besucher,Visitors
Bailey,Bailey
Aussicht,Outlook
arm,poor
Ripped,Ripped
Kapitel,Chapter
Einem,One
diejenigen,those
Ai,Ai
Wille,will
Weib,woman
schlag,hit
Santa,Santa
gewachsen,grown
genügt,enough
geheilt,healed
Friedhof,Cemetery
folge,consequence
Evan,Evan
entscheidet,decides
entdecken,discover
DeepThought,DeepThought
Sinne,senses
ordentlich,orderly
loslassen,let go
Käfig,Cage
Harris,Harris
taucht,dives
Segen,blessing
Schildkröte,tortoise
scheißegal,don't give a fuck
Original,Original
losgehen,go off
Kommandant,commander
hoffte,hoped
gestanden,confessed
dreimal,3 times
Behörden,authorities
verkaufe,sell
übertragen,transmitted
Trotz,Despite
Trauer,Grief
Schweigen,Be silent
Russland,Russia
kurzen,short
Brieftasche,wallet
Beute,prey
Vergleich,Comparison
unfair,unfair
Turner,Turner
Tradition,tradition
Sünden,sins
Sondern,Rather
schweren,heavy
Mick,Mick
Isabelle,Isabelle
Halloween,Halloween
gelacht,laughed
Florida,Florida
beweist,proves
anfängt,begins
amüsieren,amuse
UBahn,Subway
Tal,valley
Stiefel,Boots
steig,rise
segne,bless
Konto,Account
Jennifer,Jennifer
Jahres,year
gefreut,pleased
G,G
Französisch,French
fliege,Fly
Existenz,existence
DU,YOU
Cowboy,cowboy
Zauber,Magic
vertragen,tolerated
OP,OP
löst,solves
gefehlt,missing
Café,Coffee shop
Ausflug,Side trip
Abschaum,scum
wehgetan,hurt
unterbrechen,interrupt
rausgefunden,found out
infiziert,infected
Guy,Guy
Gentleman,gentleman
gefickt,fucked
Flieger,Aviator
Festung,fortress
Faust,fist
auftaucht,shows up
Salat,salad
Revolution,revolution
KungFu,KungFu
Kids,Kids
harten,hard
gerissen,cracked
einzelnen,individual
besonderes,special
